name,name_key,symbol,listing_date,ipo_price,market,lead_manager,listed_shares
동성제약,동성제약,002210,1990-01-19,,유가,,
신풍제약,신풍제약,019170,1990-01-20,,유가,,
영화금속,영화금속,012280,1990-01-25,,유가,,
대영포장,대영포장,014160,1990-03-06,,유가,,
일진홀딩스,일진홀딩스,015860,1990-03-22,,유가,,
HLB글로벌,hlb글로벌,003580,1990-03-23,,유가,,
성문전자,성문전자,014910,1990-03-24,,유가,,
서흥,서흥,008490,1990-03-27,,유가,,
원림,원림,005820,1990-04-20,,유가,,
대동전자,대동전자,008110,1990-06-05,,유가,,
금비,금비,008870,1990-06-08,,유가,,
무림페이퍼,무림페이퍼,009200,1990-06-09,,유가,,
현대차증권,현대차증권,001500,1990-06-09,,유가,,
팜젠사이언스,팜젠사이언스,004720,1990-06-15,,유가,,
이렘,이렘,009730,1990-07-27,,코스닥,,
고려아연,고려아연,010130,1990-07-28,,유가,,
STX,stx,011810,1990-09-12,,유가,,
광명전기,광명전기,017040,1990-09-14,,유가,,
부산산업,부산산업,011390,1990-09-14,,유가,,
케이비아이동국실업,케이비아이동국실업,001620,1990-09-15,,유가,,
대현,대현,016090,1990-09-20,,유가,,
피에스텍,피에스텍,002230,1991-01-04,,코스닥,,
고려산업,고려산업,002140,1991-01-14,,유가,,
극동유화,극동유화,014530,1991-01-31,,유가,,
화승인더스트리,화승인더스트리,006060,1991-02-04,,유가,,
신흥,신흥,004080,1991-02-08,,유가,,
화승코퍼레이션,화승코퍼레이션,013520,1991-02-22,,유가,,
태경비케이,태경비케이,014580,1991-03-07,,유가,,
세아베스틸지주,세아베스틸지주,001430,1991-03-12,,유가,,
호텔신라,호텔신라,008770,1991-03-12,,유가,,
대동기어,대동기어,008830,1991-05-17,,코스닥,,
롯데케미칼,롯데케미칼,011170,1991-05-30,,유가,,
에이티넘인베스트,에이티넘인베스트,021080,1991-07-12,,코스닥,,
수산세보틱스,수산세보틱스,017550,1991-08-30,,유가,,
휴니드테크놀러지스,휴니드테크놀러지스,005870,1991-09-03,,유가,,
세명전기,세명전기,017510,1991-12-26,,코스닥,,
대한해운,대한해운,005880,1992-04-23,,유가,,
글로본,글로본,019660,1992-06-04,,코스닥,,
대주산업,대주산업,003310,1992-08-01,,코스닥,,
한국알콜,한국알콜,017890,1992-08-04,,코스닥,,
한일화학,한일화학,007770,1992-09-07,,코스닥,,
일지테크,일지테크,019540,1992-11-03,,코스닥,,
네이처셀,네이처셀,007390,1992-11-30,,코스닥,,
삼일기업공사,삼일기업공사,002290,1992-11-30,,코스닥,,
경동제약,경동제약,011040,1992-12-18,,코스닥,,
원풍,원풍,008370,1992-12-18,,코스닥,,
대림바스,대림바스,005750,1992-12-23,,유가,,
삼륭물산,삼륭물산,014970,1992-12-29,,코스닥,,
DB,db,012030,1993-01-06,,유가,,
SGC에너지,sgc에너지,005090,1993-01-06,,유가,,
중앙에너비스,중앙에너비스,000440,1993-03-24,,코스닥,,
디모아,디모아,016670,1993-04-21,,코스닥,,
한국가구,한국가구,004590,1993-06-03,,코스닥,,
대원산업,대원산업,005710,1993-06-21,,코스닥,,
큐캐피탈,큐캐피탈,016600,1993-06-21,,코스닥,,
대동금속,대동금속,020400,1993-07-30,,코스닥,,
경동나비엔,경동나비엔,009450,1993-08-31,,유가,,
삼화페인트공업,삼화페인트공업,000390,1993-09-10,,유가,,
엠에스씨,엠에스씨,009780,1993-10-12,,코스닥,,
베뉴지,베뉴지,019010,1993-11-05,,코스닥,,
삼보산업,삼보산업,009620,1993-12-07,,코스닥,,
푸드웰,푸드웰,005670,1993-12-07,,코스닥,,
푸른저축은행,푸른저축은행,007330,1993-12-07,,코스닥,,
피제이전자,피제이전자,006140,1993-12-07,,코스닥,,
THE CUBE&,thecube,013720,1993-12-29,,코스닥,,
유니크,유니크,011320,1993-12-29,,코스닥,,
진로발효,진로발효,018120,1993-12-29,,코스닥,,
소노스퀘어,소노스퀘어,007720,1994-01-06,,코스닥,,
모토닉,모토닉,009680,1994-01-14,,유가,,
화신,화신,010690,1994-01-14,,유가,,
삼성중공업,삼성중공업,010140,1994-01-28,,유가,,
부방,부방,014470,1994-02-25,,코스닥,,
바른손,바른손,018700,1994-03-18,,코스닥,,
동원시스템즈,동원시스템즈,014820,1994-03-29,,유가,,
대양금속,대양금속,009190,1994-04-29,,유가,,
이화산업,이화산업,000760,1994-04-29,,유가,,
서한,서한,011370,1994-05-24,,코스닥,,
신라섬유,신라섬유,001000,1994-06-28,,코스닥,,
원일특강,원일특강,012620,1994-06-28,,코스닥,,
엘에스일렉트릭,엘에스일렉트릭,010120,1994-07-11,,유가,,
와이엠,와이엠,007530,1994-08-05,,코스닥,,
HL D&I,hldi,014790,1994-08-12,,유가,,
오뚜기,오뚜기,007310,1994-08-12,,유가,,
일정실업,일정실업,008500,1994-08-12,,유가,,
보성파워텍,보성파워텍,006910,1994-09-07,,코스닥,,
브이티,브이티,018290,1994-09-07,,코스닥,,
태광,태광,023160,1994-09-07,,코스닥,,
국영지앤엠,국영지앤엠,006050,1994-10-07,,코스닥,,
유진기업,유진기업,023410,1994-10-07,,코스닥,,
