strategy_name,term,entry_mode,symbol,name,listing_date,unlock_date,reason,query_start,query_end,prev_close_vs_ipo,threshold,daily_rows,daily_min,daily_max,target_entry_date,entry_idx,exit_idx
3M_close_midhold,3M,close,101970,우양에이치씨,2025-03-28,2025-06-28,ipo_price_missing_for_prev_filter,20250608,20250930,,,,,,,,
3M_close_midhold,3M,close,481070,에이유브랜즈,2025-04-03,2025-07-03,prev_close_vs_ipo_below_min,20250613,20251005,1.19375,2.0,,,,,,
3M_close_midhold,3M,close,448900,한국피아이엠,2025-04-04,2025-07-04,prev_close_vs_ipo_below_min,20250614,20251006,1.2669642857142858,2.0,,,,,,
3M_close_midhold,3M,close,081180,쎄크,2025-04-28,2025-07-28,prev_close_vs_ipo_below_min,20250708,20251030,0.608,2.0,,,,,,
3M_close_midhold,3M,close,364950,에이아이코리아,2025-04-29,2025-07-29,ipo_price_missing_for_prev_filter,20250709,20251031,,,,,,,,
3M_close_midhold,3M,close,476040,오가노이드사이언스,2025-05-09,2025-08-09,prev_close_vs_ipo_below_min,20250720,20251111,1.5238095238095237,2.0,,,,,,
3M_close_midhold,3M,close,136150,원일티엔아이,2025-05-09,2025-08-09,prev_close_vs_ipo_below_min,20250720,20251111,1.8518518518518519,2.0,,,,,,
3M_close_midhold,3M,close,376900,로킷헬스케어,2025-05-12,2025-08-12,prev_close_vs_ipo_below_min,20250723,20251114,1.3736363636363635,2.0,,,,,,
3M_close_midhold,3M,close,125020,티씨머티리얼즈,2025-05-15,2025-08-15,ipo_price_missing_for_prev_filter,20250726,20251117,,,,,,,,
3M_close_midhold,3M,close,188040,바이오포트,2025-05-16,2025-08-16,ipo_price_missing_for_prev_filter,20250727,20251118,,,,,,,,
3M_close_midhold,3M,close,424870,이뮨온시아,2025-05-19,2025-08-19,prev_close_vs_ipo_below_min,20250730,20251121,1.5138888888888888,2.0,,,,,,
3M_close_midhold,3M,close,489460,바이오비쥬,2025-05-20,2025-08-20,prev_close_vs_ipo_below_min,20250731,20251122,1.8923076923076922,2.0,,,,,,
