name,name_key,symbol,listing_date,ipo_price,market,lead_manager,listed_shares,ipo_price_source
피앤에스로보틱스,피앤에스로보틱스,460940,2024-07-31,,코스닥,nan,,
아이빔테크놀로지,아이빔테크놀로지,460470,2024-08-06,10000.0,코스닥,삼성증권(주),,38
뱅크웨어글로벌,뱅크웨어글로벌,199480,2024-08-12,16000.0,코스닥,미래에셋증권 주식회사,,38
유라클,유라클,088340,2024-08-16,21000.0,코스닥,키움증권(주),,38
전진건설로봇,전진건설로봇,079900,2024-08-19,16500.0,유가,미래에셋증권 주식회사,,38
넥스트바이오메디컬,넥스트바이오메디컬,389650,2024-08-20,29000.0,코스닥,한국투자증권(주),,38
케이쓰리아이,케이쓰리아이,431190,2024-08-20,15500.0,코스닥,하나증권주식회사,,38
티디에스팜,티디에스팜,464280,2024-08-21,13000.0,코스닥,한국투자증권(주),,38
M83,m83,476080,2024-08-22,16000.0,코스닥,신영증권(주),,kind
이엔셀,이엔셀,456070,2024-08-23,15300.0,코스닥,엔에이치투자증권(주),,38
아이스크림미디어,아이스크림미디어,461300,2024-08-30,32000.0,코스닥,삼성증권(주),,38
아이비젼웍스,아이비젼웍스,469750,2024-09-03,,코스닥,nan,,
아이언디바이스,아이언디바이스,464500,2024-09-23,7000.0,코스닥,대신증권(주),,38
차이커뮤니케이션,차이커뮤니케이션,351870,2024-09-27,,코스닥,nan,,
한화비전,한화비전,489790,2024-09-27,,유가,nan,,
제닉스로보틱스,제닉스로보틱스,381620,2024-09-30,,코스닥,nan,,
셀비온,셀비온,308430,2024-10-16,15000.0,코스닥,대신증권(주),,38
와이제이링크,와이제이링크,209640,2024-10-18,12000.0,코스닥,KB증권(주),,38
인스피언,인스피언,465480,2024-10-18,12000.0,코스닥,한국투자증권(주),,38
루미르,루미르,474170,2024-10-21,12000.0,코스닥,엔에이치투자증권(주),,38
한켐,한켐,457370,2024-10-22,18000.0,코스닥,신영증권(주),,38
씨메스,씨메스,475400,2024-10-24,30000.0,코스닥,"유진투자증권(주),삼성증권(주)",,38
에이치엔에스하이텍,에이치엔에스하이텍,044990,2024-10-25,22000.0,코스닥,미래에셋증권 주식회사,,38
웨이비스,웨이비스,289930,2024-10-25,15000.0,코스닥,대신증권(주),,38
클로봇,클로봇,466100,2024-10-28,13000.0,코스닥,미래에셋증권 주식회사,,38
타조이엔터테인먼트,타조이엔터테인먼트,476710,2024-10-30,,코넥스,nan,,
에이럭스,에이럭스,475580,2024-11-01,16000.0,코스닥,한국투자증권(주),,38
탑런토탈솔루션,탑런토탈솔루션,336680,2024-11-01,18000.0,코스닥,KB증권(주),,38
HEM파마,hem파마,376270,2024-11-05,,코스닥,nan,,
더본코리아,더본코리아,475560,2024-11-06,34000.0,유가,"한국투자증권(주),엔에이치투자증권(주)",,38
토모큐브,토모큐브,475960,2024-11-07,16000.0,코스닥,대신증권(주),,38
에어레인,에어레인,163280,2024-11-08,23000.0,코스닥,신영증권(주),,38
노머스,노머스,473980,2024-11-12,30200.0,코스닥,대신증권(주),,38
닷밀,닷밀,464580,2024-11-13,13000.0,코스닥,미래에셋증권 주식회사,,38
쓰리빌리언,쓰리빌리언,394800,2024-11-14,4500.0,코스닥,한국투자증권(주),,38
에스켐,에스켐,475660,2024-11-18,10000.0,코스닥,엔에이치투자증권(주),,38
엠오티,엠오티,413390,2024-11-18,10000.0,코스닥,한국투자증권(주),,38
RF시스템즈,rf시스템즈,474610,2024-11-19,,코스닥,nan,,
사이냅소프트,사이냅소프트,466410,2024-11-19,24500.0,코스닥,엔에이치투자증권(주),,38
위츠,위츠,459100,2024-11-20,6400.0,코스닥,신한투자증권 주식회사,,38
유디엠텍,유디엠텍,389680,2024-11-20,,코스닥,nan,,
KB발해인프라,kb발해인프라,415640,2024-11-29,,유가,nan,,
셀로맥스사이언스,셀로맥스사이언스,471820,2024-12-13,,코스닥,nan,,
벡트,벡트,457600,2024-12-16,3900.0,코스닥,신한투자증권 주식회사,,38
엠앤씨솔루션,엠앤씨솔루션,484870,2024-12-16,65000.0,유가,KB증권(주),,38
온코크로스,온코크로스,382150,2024-12-18,7300.0,코스닥,미래에셋증권 주식회사,,38
에스지헬스케어,에스지헬스케어,398120,2024-12-19,,코스닥,nan,,
온코닉테라퓨틱스,온코닉테라퓨틱스,476060,2024-12-19,13000.0,코스닥,엔에이치투자증권(주),,38
듀켐바이오,듀켐바이오,176750,2024-12-20,8000.0,코스닥,엔에이치투자증권(주),,38
GS피앤엘,gs피앤엘,499790,2024-12-23,,유가,엔에이치투자증권(주),,
유비씨,유비씨,495810,2024-12-23,,코넥스,아이비케이투자증권(주),,
창대정밀,창대정밀,368030,2024-12-23,,코넥스,아이비케이투자증권(주),,
쓰리에이로직스,쓰리에이로직스,177900,2024-12-24,11000.0,코스닥,"신한투자증권 주식회사,미래에셋증권 주식회사",,38
엠에프씨,엠에프씨,432980,2024-12-26,,코스닥,nan,,
파인메딕스,파인메딕스,387570,2024-12-26,10000.0,코스닥,한국투자증권(주),,38
오션스바이오,오션스바이오,332190,2025-01-14,,코넥스,교보증권(주),,
블랙야크아이앤씨,블랙야크아이앤씨,478560,2025-01-21,,코스닥,nan,,
미트박스,미트박스,475460,2025-01-23,19000.0,코스닥,미래에셋증권 주식회사,,kind
데이원컴퍼니,데이원컴퍼니,373160,2025-01-24,13000.0,코스닥,"미래에셋증권 주식회사,삼성증권(주)",,38
아스테라시스,아스테라시스,450950,2025-01-24,4600.0,코스닥,DB증권주식회사,,38
와이즈넛,와이즈넛,096250,2025-01-24,17000.0,코스닥,삼성증권(주),,38
삼양엔씨켐,삼양엔씨켐,482630,2025-02-03,18000.0,코스닥,KB증권(주),,38
아이지넷,아이지넷,462980,2025-02-04,7000.0,코스닥,한국투자증권(주),,38
피아이이,피아이이,452450,2025-02-04,5000.0,코스닥,삼성증권(주),,38
LG씨엔에스,lg씨엔에스,064400,2025-02-05,61900.0,유가,"KB증권(주),메릴린치인터내셔날엘엘씨증권 서울지점,모간스탠리인터내셔날증권회사 서울지점",,kind
아이에스티이,아이에스티이,212710,2025-02-12,11400.0,코스닥,KB증권(주),,38
동방메디컬,동방메디컬,240550,2025-02-13,10500.0,코스닥,엔에이치투자증권(주),,38
오름테라퓨틱,오름테라퓨틱,475830,2025-02-14,20000.0,코스닥,한국투자증권(주),,38
동국생명과학,동국생명과학,303810,2025-02-17,9000.0,코스닥,"엔에이치투자증권(주),KB증권(주)",,38
모티브링크,모티브링크,463480,2025-02-20,6000.0,코스닥,미래에셋증권 주식회사,,38
위너스,위너스,479960,2025-02-24,8500.0,코스닥,미래에셋증권 주식회사,,38
엘케이켐,엘케이켐,489500,2025-02-25,21000.0,코스닥,신영증권(주),,38
에르코스,에르코스,435570,2025-02-28,,코스닥,nan,,
대진첨단소재,대진첨단소재,393970,2025-03-06,9000.0,코스닥,미래에셋증권 주식회사,,38
에스엠씨지,에스엠씨지,460870,2025-03-07,,코스닥,nan,,
엠디바이스,엠디바이스,226590,2025-03-07,8350.0,코스닥,삼성증권(주),,38
서울보증보험,서울보증보험,031210,2025-03-14,26000.0,유가,"미래에셋증권 주식회사,삼성증권(주)",,38
씨케이솔루션,씨케이솔루션,480370,2025-03-17,15000.0,유가,엔에이치투자증권(주),,38
티엑스알로보틱스,티엑스알로보틱스,484810,2025-03-20,13500.0,코스닥,"신한투자증권 주식회사,엔에이치투자증권(주)",,38
한텍,한텍,098070,2025-03-20,10800.0,코스닥,대신증권(주),,38
심플랫폼,심플랫폼,444530,2025-03-21,15000.0,코스닥,KB증권(주),,38
더즌,더즌,462860,2025-03-24,9000.0,코스닥,한국투자증권(주),,38
우양에이치씨,우양에이치씨,101970,2025-03-28,,코스닥,nan,,
에이유브랜즈,에이유브랜즈,481070,2025-04-03,16000.0,코스닥,한국투자증권(주),,38
한국피아이엠,한국피아이엠,448900,2025-04-04,11200.0,코스닥,IBK투자증권(주),,38
쎄크,쎄크,081180,2025-04-28,15000.0,코스닥,신영증권(주),,38
