name_key,name,ipo_price,listing_date,source_kinds
포바이포,포바이포,17000.0,2022-04-28,"new_listing,subscription"
상상인스팩3호,상상인스팩3호,2000.0,2022-04-29,"new_listing,subscription"
대명에너지,대명에너지,15000.0,2022-05-16,"new_listing,subscription"
가온칩스,가온칩스,14000.0,2022-05-20,"new_listing,subscription"
하나금융스팩22호,하나금융스팩22호,2000.0,2022-05-26,"new_listing,subscription"
마스턴프리미어리츠,마스턴프리미어리츠(유가),5000.0,2022-05-31,"new_listing,subscription"
청담글로벌,청담글로벌,6000.0,2022-06-03,"new_listing,subscription"
범한퓨얼셀,범한퓨얼셀,40000.0,2022-06-17,"new_listing,subscription"
비플라이소프트,비플라이소프트,10000.0,2022-06-20,"new_listing,subscription"
kb스팩21호,KB스팩21호,2000.0,2022-06-23,"new_listing,subscription"
위니아에이드,위니아에이드,16200.0,2022-06-23,"new_listing,subscription"
교보스팩12호,교보스팩12호,2000.0,2022-06-24,"new_listing,subscription"
레이저쎌,레이저쎌,16000.0,2022-06-24,"new_listing,subscription"
보로노이,보로노이,40000.0,2022-06-24,"new_listing,subscription"
nh스팩23호,NH스팩23호,2000.0,2022-06-28,"new_listing,subscription"
삼성스팩6호,삼성스팩6호,2000.0,2022-06-30,"new_listing,subscription"
넥스트칩,넥스트칩,13000.0,2022-07-01,"new_listing,subscription"
코난테크놀로지,코난테크놀로지,25000.0,2022-07-07,"new_listing,subscription"
대신밸런스12호스팩,대신밸런스12호스팩,2000.0,2022-07-14,"new_listing,subscription"
영창케미칼,영창케미칼,18600.0,2022-07-14,"new_listing,subscription"
에이치피에스피,에이치피에스피,25000.0,2022-07-15,"new_listing,subscription"
루닛,루닛,30000.0,2022-07-21,"new_listing,subscription"
ibks스팩18호,IBKS스팩18호,2000.0,2022-07-22,"new_listing,subscription"
성일하이텍,성일하이텍,50000.0,2022-07-28,"new_listing,subscription"
에이프릴바이오,에이프릴바이오,16000.0,2022-07-28,"new_listing,subscription"
신한스팩10호,신한스팩10호,2000.0,2022-07-29,"new_listing,subscription"
아이씨에이치,아이씨에이치,34000.0,2022-07-29,"new_listing,subscription"
수산인더스트리,수산인더스트리(유가),35000.0,2022-08-01,"new_listing,subscription"
새빗켐,새빗켐,35000.0,2022-08-04,"new_listing,subscription"
유안타스팩9호,유안타스팩9호,2000.0,2022-08-04,"new_listing,subscription"
에이치와이티씨,에이치와이티씨,15000.0,2022-08-09,"new_listing,subscription"
대성하이텍,대성하이텍,9000.0,2022-08-22,"new_listing,subscription"
쏘카,쏘카(유가),28000.0,2022-08-22,"new_listing,subscription"
ibks스팩19호,IBKS스팩19호,2000.0,2022-08-26,"new_listing,subscription"
신영스팩8호,신영스팩8호,2000.0,2022-08-26,"new_listing,subscription"
키움스팩7호,키움스팩7호,2000.0,2022-09-07,"new_listing,subscription"
하나금융스팩23호,하나금융스팩23호,2000.0,2022-09-15,"new_listing,subscription"
kb스팩22호,KB스팩22호,2000.0,2022-09-22,"new_listing,subscription"
오픈엣지테크놀로지,오픈엣지테크놀로지,10000.0,2022-09-26,"new_listing,subscription"
알피바이오,알피바이오,13000.0,2022-09-29,"new_listing,subscription"
하나금융스팩24호,하나금융스팩24호,2000.0,2022-09-29,"new_listing,subscription"
한화플러스스팩3호,한화플러스스팩3호,2000.0,2022-09-29,"new_listing,subscription"
