name,name_key,symbol,market,current_price,day_change_pct,quote_asof,quote_provider
데이원컴퍼니,데이원컴퍼니,373160,,3115.0,,2026-07-15,NaverFinance
도우인시스,도우인시스,484120,,15170.0,,2026-07-15,NaverFinance
동구바이오제약,동구바이오제약,006620,,3640.0,,2026-07-15,NaverFinance
동국생명과학,동국생명과학,303810,,2320.0,,2026-07-15,NaverFinance
동방메디컬,동방메디컬,240550,,6050.0,,2026-07-15,NaverFinance
동인기연,동인기연,111380,,12720.0,,2026-07-15,NaverFinance
두산로보틱스,두산로보틱스,454910,,66700.0,,2026-07-15,NaverFinance
듀켐바이오,듀켐바이오,176750,,5890.0,,2026-07-15,NaverFinance
드림씨아이에스,드림씨아이에스,223250,,2990.0,,2026-07-15,NaverFinance
드림인사이트,드림인사이트,362990,,1223.0,,2026-07-15,NaverFinance
드림텍(유가),드림텍,192650,,4210.0,,2026-07-15,NaverFinance
디아이티,디아이티,110990,,17120.0,,2026-07-15,NaverFinance
디알젬,디알젬,263690,,5040.0,,2026-07-15,NaverFinance
디앤디파마텍,디앤디파마텍,347850,,71600.0,,2026-07-15,NaverFinance
디앤디플랫폼리츠,디앤디플랫폼리츠,377190,,1964.0,,2026-07-15,NaverFinance
디어유,디어유,376300,,20600.0,,2026-07-15,NaverFinance
디지캡,디지캡,197140,,2140.0,,2026-07-15,NaverFinance
디케이앤디,디케이앤디,263020,,3075.0,,2026-07-15,NaverFinance
디케이티,디케이티,290550,,20800.0,,2026-07-15,NaverFinance
디티앤씨알오,디티앤씨알오,383930,,1627.0,,2026-07-15,NaverFinance
딥노이드,딥노이드,315640,,1300.0,,2026-07-15,NaverFinance
라닉스,라닉스,317120,,1251.0,,2026-07-15,NaverFinance
라메디텍,라메디텍,462510,,2810.0,,2026-07-15,NaverFinance
라온피플,라온피플,300120,,478.0,,2026-07-15,NaverFinance
라파스,라파스,214260,,8750.0,,2026-07-15,NaverFinance
레메디,레메디,387690,,17460.0,,2026-07-15,NaverFinance
레몬,레몬,294140,,2070.0,,2026-07-15,NaverFinance
레몬헬스케어,레몬헬스케어,365660,,7100.0,,2026-07-15,NaverFinance
레뷰코퍼레이션,레뷰코퍼레이션,443250,,5850.0,,2026-07-15,NaverFinance
레이,레이,228670,,4640.0,,2026-07-15,NaverFinance
레이저쎌,레이저쎌,412350,,5050.0,,2026-07-15,NaverFinance
레이저옵텍,레이저옵텍,199550,,2670.0,,2026-07-15,NaverFinance
레인보우로보틱스,레인보우로보틱스,277810,,400500.0,,2026-07-15,NaverFinance
로보티즈,로보티즈,108490,,195500.0,,2026-07-15,NaverFinance
로킷헬스케어,로킷헬스케어,376900,,45200.0,,2026-07-15,NaverFinance
롯데렌탈(유가),롯데렌탈,089860,,34600.0,,2026-07-15,NaverFinance
롯데리츠(유가),롯데리츠,330590,,3450.0,,2026-07-15,NaverFinance
루닛,루닛,328130,,9550.0,,2026-07-15,NaverFinance
루미르,루미르,474170,,6250.0,,2026-07-15,NaverFinance
리메드,리메드,302550,,2650.0,,2026-07-15,NaverFinance
리브스메드,리브스메드,491000,,36300.0,,2026-07-15,NaverFinance
리센스메디컬,리센스메디컬,394420,,12740.0,,2026-07-15,NaverFinance
리파인,리파인,377450,,9980.0,,2026-07-15,NaverFinance
링크솔루션,링크솔루션,474650,,22500.0,,2026-07-15,NaverFinance
링크제니시스,링크제니시스,219420,,3350.0,,2026-07-15,NaverFinance
마녀공장,마녀공장,439090,,16460.0,,2026-07-15,NaverFinance
마니커에프앤지,마니커에프앤지,195500,,1675.0,,2026-07-15,NaverFinance
마스턴프리미어리츠(유가),마스턴프리미어리츠,357430,,616.0,,2026-07-15,NaverFinance
마이크로디지탈,마이크로디지탈,305090,,2100.0,,2026-07-15,NaverFinance
마이크로투나노,마이크로투나노,424980,,6810.0,,2026-07-15,NaverFinance
마키나락스,마키나락스,477850,,27950.0,,2026-07-15,NaverFinance
매드업,매드업,0039P0,,6030.0,,2026-07-15,NaverFinance
머큐리,머큐리,100590,,3235.0,,2026-07-15,NaverFinance
메가터치,메가터치,446540,,6570.0,,2026-07-15,NaverFinance
메드팩토,메드팩토,235980,,2720.0,,2026-07-15,NaverFinance
메리츠스팩1호,메리츠스팩1호,0088D0,,2125.0,,2026-07-15,NaverFinance
메리츠스팩2호,메리츠스팩2호,0165X0,,1946.0,,2026-07-15,NaverFinance
명신산업(유가),명신산업,009900,,6830.0,,2026-07-15,NaverFinance
명인제약,명인제약,317450,,42000.0,,2026-07-15,NaverFinance
모니터랩,모니터랩,434480,,2185.0,,2026-07-15,NaverFinance
모델솔루션,모델솔루션,417970,,10280.0,,2026-07-15,NaverFinance
모비릭스,모비릭스,348030,,2730.0,,2026-07-15,NaverFinance
모아데이타,모아데이타,288980,,854.0,,2026-07-15,NaverFinance
모티브링크,모티브링크,463480,,4300.0,,2026-07-15,NaverFinance
미디어젠,미디어젠,279600,,3480.0,,2026-07-15,NaverFinance
미래반도체,미래반도체,254490,,14810.0,,2026-07-15,NaverFinance
미래에셋글로벌리츠(유가),미래에셋글로벌리츠,396690,,1606.0,,2026-07-15,NaverFinance
미래에셋벤처투자,미래에셋벤처투자,100790,,14560.0,,2026-07-15,NaverFinance
미래에셋비전스팩10호,미래에셋비전스팩10호,0097F0,,1999.0,,2026-07-15,NaverFinance
미래에셋비전스팩11호,미래에셋비전스팩11호,0099W0,,1998.0,,2026-07-15,NaverFinance
미래에셋비전스팩4호,미래에셋비전스팩4호,477380,,2065.0,,2026-07-15,NaverFinance
미래에셋비전스팩5호,미래에셋비전스팩5호,477470,,2090.0,,2026-07-15,NaverFinance
미래에셋비전스팩6호,미래에셋비전스팩6호,478440,,2050.0,,2026-07-15,NaverFinance
미래에셋비전스팩7호,미래에셋비전스팩7호,482680,,2055.0,,2026-07-15,NaverFinance
미래에셋비전스팩8호,미래에셋비전스팩8호,0093G0,,1986.0,,2026-07-15,NaverFinance
미래에셋비전스팩9호,미래에셋비전스팩9호,0096D0,,1993.0,,2026-07-15,NaverFinance
미쥬,미쥬,351020,,6990.0,,2026-07-15,NaverFinance
미트박스,미트박스,475460,,5550.0,,2026-07-15,NaverFinance
민테크,민테크,452200,,1325.0,,2026-07-15,NaverFinance
바이브컴퍼니,바이브컴퍼니,301300,,1244.0,,2026-07-15,NaverFinance
바이오노트(유가),바이오노트,377740,,4580.0,,2026-07-15,NaverFinance
바이오다인,바이오다인,314930,,8000.0,,2026-07-15,NaverFinance
바이오비쥬,바이오비쥬,489460,,5990.0,,2026-07-15,NaverFinance
바이오솔루션,바이오솔루션,086820,,5860.0,,2026-07-15,NaverFinance
바이오에프디엔씨,바이오에프디엔씨,251120,,8020.0,,2026-07-15,NaverFinance
바이오인프라,바이오인프라,199730,,1650.0,,2026-07-15,NaverFinance
바이오텐,바이오텐,289170,,3200.0,,2026-07-15,NaverFinance
바이오포트,바이오포트,188040,,5020.0,,2026-07-15,NaverFinance
바이오플러스,바이오플러스,099430,,3760.0,,2026-07-15,NaverFinance
바이젠셀,바이젠셀,308080,,5190.0,,2026-07-15,NaverFinance
박셀바이오,박셀바이오,323990,,3970.0,,2026-07-15,NaverFinance
배럴,배럴,267790,,3370.0,,2026-07-15,NaverFinance
뱅크웨어글로벌,뱅크웨어글로벌,199480,,2775.0,,2026-07-15,NaverFinance
버넥트,버넥트,438700,,1688.0,,2026-07-15,NaverFinance
범한퓨얼셀,범한퓨얼셀,382900,,14740.0,,2026-07-15,NaverFinance
벡트,벡트,457600,,2310.0,,2026-07-15,NaverFinance
보로노이,보로노이,310210,,144900.0,,2026-07-15,NaverFinance
보원케미칼,보원케미칼,0010F0,,2130.0,,2026-07-15,NaverFinance
본시스템즈,본시스템즈,496320,,1023000.0,,2026-07-15,NaverFinance
뷰노,뷰노,338220,,7050.0,,2026-07-15,NaverFinance
뷰티스킨,뷰티스킨,406820,,1734.0,,2026-07-15,NaverFinance
브레인즈컴퍼니,브레인즈컴퍼니,099390,,3165.0,,2026-07-15,NaverFinance
브이씨,브이씨,365900,,2570.0,,2026-07-15,NaverFinance
블랙야크아이앤씨,블랙야크아이앤씨,478560,,2410.0,,2026-07-15,NaverFinance
블루엠텍,블루엠텍,439580,,1595.0,,2026-07-15,NaverFinance
비나텍,비나텍,126340,,62900.0,,2026-07-15,NaverFinance
비비씨,비비씨,318410,,5600.0,,2026-07-15,NaverFinance
비씨엔씨,비씨엔씨,146320,,10380.0,,2026-07-15,NaverFinance
비아이매트릭스,비아이매트릭스,413640,,6150.0,,2026-07-15,NaverFinance
비엔케이스팩3호,비엔케이스팩3호,0068Y0,,1989.0,,2026-07-15,NaverFinance
비츠로넥스텍,비츠로넥스텍,488900,,7290.0,,2026-07-15,NaverFinance
비피도,비피도,238200,,2435.0,,2026-07-15,NaverFinance
삐아,삐아,451250,,7000.0,,2026-07-15,NaverFinance
사이냅소프트,사이냅소프트,466410,,7730.0,,2026-07-15,NaverFinance
사피엔반도체,사피엔반도체,452430,,27700.0,,2026-07-15,NaverFinance
산돌,산돌,419120,,2435.0,,2026-07-15,NaverFinance
산일전기,산일전기,062040,,168600.0,,2026-07-15,NaverFinance
삼미금속,삼미금속,012210,,6280.0,,2026-07-15,NaverFinance
삼성FN리츠(유가),삼성fn리츠,448730,,5350.0,,2026-07-15,NaverFinance
삼성스팩10호,삼성스팩10호,0044K0,,1986.0,,2026-07-15,NaverFinance
삼성스팩11호,삼성스팩11호,0071M0,,2000.0,,2026-07-15,NaverFinance
삼성스팩12호,삼성스팩12호,0096B0,,1995.0,,2026-07-15,NaverFinance
삼성스팩13호,삼성스팩13호,0115H0,,1992.0,,2026-07-15,NaverFinance
삼양바이오팜,삼양바이오팜,000120,,71700.0,,2026-07-15,NaverFinance
삼양엔씨켐,삼양엔씨켐,482630,,13820.0,,2026-07-15,NaverFinance
삼양컴텍,삼양컴텍,484590,,5740.0,,2026-07-15,NaverFinance
삼영에스앤씨,삼영에스앤씨,361670,,3400.0,,2026-07-15,NaverFinance
삼익제약,삼익제약,014950,,3850.0,,2026-07-15,NaverFinance
삼현,삼현,437730,,30050.0,,2026-07-15,NaverFinance
새빗켐,새빗켐,107600,,12300.0,,2026-07-15,NaverFinance
샌즈랩,샌즈랩,411080,,3815.0,,2026-07-15,NaverFinance
샘씨엔에스,샘씨엔에스,252990,,12980.0,,2026-07-15,NaverFinance
샤페론,샤페론,378800,,511.0,,2026-07-15,NaverFinance
서남,서남,294630,,2495.0,,2026-07-15,NaverFinance
서울바이오시스,서울바이오시스,092190,,5590.0,,2026-07-15,NaverFinance
서울보증보험,서울보증보험,031210,,41850.0,,2026-07-15,NaverFinance
석경에이티,석경에이티,357550,,35850.0,,2026-07-15,NaverFinance
선바이오,선바이오,067370,,5720.0,,2026-07-15,NaverFinance
선진뷰티사이언스,선진뷰티사이언스,086710,,6960.0,,2026-07-15,NaverFinance
성우,성우,458650,,8100.0,,2026-07-15,NaverFinance
성일하이텍,성일하이텍,365340,,31450.0,,2026-07-15,NaverFinance
세경하이테크,세경하이테크,148150,,2835.0,,2026-07-15,NaverFinance
세나테크놀로지,세나테크놀로지,061090,,41150.0,,2026-07-15,NaverFinance
세니젠,세니젠,188260,,1950.0,,2026-07-15,NaverFinance
세미티에스,세미티에스,0017J0,,3095.0,,2026-07-15,NaverFinance
세미파이브,세미파이브,490470,,17940.0,,2026-07-15,NaverFinance
세븐브로이맥주,세븐브로이맥주,267080,,486.0,,2026-07-15,NaverFinance
세아메카닉스,세아메카닉스,396300,,2850.0,,2026-07-15,NaverFinance
세종메디칼,세종메디칼,258830,,412.0,,2026-07-15,NaverFinance
센서뷰,센서뷰,321370,,1503.0,,2026-07-15,NaverFinance
센코,센코,347000,,1673.0,,2026-07-15,NaverFinance
셀레믹스,셀레믹스,331920,,9500.0,,2026-07-15,NaverFinance
셀로맥스사이언스,셀로맥스사이언스,471820,,4110.0,,2026-07-15,NaverFinance
셀리드,셀리드,299660,,1121.0,,2026-07-15,NaverFinance
셀비온,셀비온,308430,,12770.0,,2026-07-15,NaverFinance
소룩스,소룩스,290690,,5010.0,,2026-07-15,NaverFinance
소마젠,소마젠,950200,,2725.0,,2026-07-15,NaverFinance
솔루엠(유가),솔루엠,248070,,14340.0,,2026-07-15,NaverFinance
솔트룩스,솔트룩스,304100,,10920.0,,2026-07-15,NaverFinance
수산인더스트리(유가),수산인더스트리,126720,,20700.0,,2026-07-15,NaverFinance
수젠텍,수젠텍,253840,,3795.0,,2026-07-15,NaverFinance
스마트레이더시스템,스마트레이더시스템,424960,,3530.0,,2026-07-15,NaverFinance
스코넥,스코넥,276040,,327.0,,2026-07-15,NaverFinance
스톤브릿지벤처스,스톤브릿지벤처스,330730,,4460.0,,2026-07-15,NaverFinance
스톰테크,스톰테크,352090,,3500.0,,2026-07-15,NaverFinance
스튜디오미르,스튜디오미르,408900,,1003.0,,2026-07-15,NaverFinance
스튜디오삼익,스튜디오삼익,415380,,1823.0,,2026-07-15,NaverFinance
스트라드비젼,스트라드비젼,475040,,3435.0,,2026-07-15,NaverFinance
시스웍,시스웍,269620,,889.0,,2026-07-15,NaverFinance
시지트로닉스,시지트로닉스,429270,,3415.0,,2026-07-15,NaverFinance
시큐레터,시큐레터,418250,,6550.0,,2026-07-15,NaverFinance
시프트업,시프트업,462870,,32300.0,,2026-07-15,NaverFinance
신도기연,신도기연,290520,,1500.0,,2026-07-15,NaverFinance
신성에스티,신성에스티,416180,,18100.0,,2026-07-15,NaverFinance
신영스팩10호,신영스팩10호,472220,,2095.0,,2026-07-15,NaverFinance
신영스팩11호,신영스팩11호,0091W0,,2020.0,,2026-07-15,NaverFinance
신테카바이오,신테카바이오,226330,,1540.0,,2026-07-15,NaverFinance
신한글로벌액티브리츠,신한글로벌액티브리츠,481850,,977.0,,2026-07-15,NaverFinance
신한서부티엔디리츠(유가),신한서부티엔디리츠,404990,,3575.0,,2026-07-15,NaverFinance
신한스팩12호,신한스팩12호,474660,,2055.0,,2026-07-15,NaverFinance
신한스팩13호,신한스팩13호,474930,,2090.0,,2026-07-15,NaverFinance
신한스팩14호,신한스팩14호,487360,,2010.0,,2026-07-15,NaverFinance
신한스팩15호,신한스팩15호,487830,,2030.0,,2026-07-15,NaverFinance
신한스팩16호,신한스팩16호,496070,,1997.0,,2026-07-15,NaverFinance
신한스팩17호,신한스팩17호,0130D0,,1986.0,,2026-07-15,NaverFinance
신한스팩18호,신한스팩18호,0129K0,,1982.0,,2026-07-15,NaverFinance
신한알파리츠(유가),신한알파리츠,293940,,5180.0,,2026-07-15,NaverFinance
실리콘투,실리콘투,257720,,36500.0,,2026-07-15,NaverFinance
심플랫폼,심플랫폼,444530,,4580.0,,2026-07-15,NaverFinance
싸이닉솔루션,싸이닉솔루션,234030,,3035.0,,2026-07-15,NaverFinance
싸이버원,싸이버원,356890,,2060.0,,2026-07-15,NaverFinance
싸이토젠,싸이토젠,217330,,2995.0,,2026-07-15,NaverFinance
쎄크,쎄크,081180,,5160.0,,2026-07-15,NaverFinance
쏘닉스,쏘닉스,088280,,2705.0,,2026-07-15,NaverFinance
쏘카(유가),쏘카,403550,,10050.0,,2026-07-15,NaverFinance
쓰리빌리언,쓰리빌리언,394800,,5430.0,,2026-07-15,NaverFinance
쓰리에이로직스,쓰리에이로직스,177900,,3915.0,,2026-07-15,NaverFinance
씨메스,씨메스,475400,,15250.0,,2026-07-15,NaverFinance
씨메스로보틱스,씨메스로보틱스,475400,,15250.0,,2026-07-15,NaverFinance
씨싸이트,씨싸이트,109670,,3605.0,,2026-07-15,NaverFinance
씨앤씨인터내셔널,씨앤씨인터내셔널,352480,,19320.0,,2026-07-15,NaverFinance
씨앤지하이테크,씨앤지하이테크,264660,,12360.0,,2026-07-15,NaverFinance
씨어스,씨어스,458870,,31500.0,,2026-07-15,NaverFinance
씨어스테크놀로지,씨어스테크놀로지,458870,,31500.0,,2026-07-15,NaverFinance
씨에스베어링,씨에스베어링,297090,,3785.0,,2026-07-15,NaverFinance
씨엠티엑스,씨엠티엑스,388210,,84200.0,,2026-07-15,NaverFinance
씨유테크,씨유테크,376290,,2675.0,,2026-07-15,NaverFinance
씨이랩,씨이랩,189330,,9060.0,,2026-07-15,NaverFinance
씨케이솔루션,씨케이솔루션,480370,,1140.0,,2026-07-15,NaverFinance
아로마티카,아로마티카,0015N0,,5100.0,,2026-07-15,NaverFinance
아모그린텍,아모그린텍,125210,,5660.0,,2026-07-15,NaverFinance
아모센스,아모센스,357580,,5710.0,,2026-07-15,NaverFinance
아셈스,아셈스,136410,,4870.0,,2026-07-15,NaverFinance
아스테라시스,아스테라시스,450950,,6250.0,,2026-07-15,NaverFinance
아스플로,아스플로,159010,,13230.0,,2026-07-15,NaverFinance
아시아나IDT(유가),아시아나idt,267850,,9250.0,,2026-07-15,NaverFinance
아시아종묘,아시아종묘,154030,,1535.0,,2026-07-15,NaverFinance
아우토크립트,아우토크립트,331740,,6300.0,,2026-07-15,NaverFinance
아이디피,아이디피,332370,,5230.0,,2026-07-15,NaverFinance
아이비젼웍스,아이비젼웍스,469750,,597.0,,2026-07-15,NaverFinance
아이빔테크놀로지,아이빔테크놀로지,460470,,2985.0,,2026-07-15,NaverFinance
아이스크림미디어,아이스크림미디어,461300,,15360.0,,2026-07-15,NaverFinance
