bas_dt,symbol,isin,name,name_key,market,crno,corp_name,listing_status,delisting_date,source,source_detail,last_refresh_ts
20260415,014940,KR7014940001,오리엔탈정공,오리엔탈정공,코스닥,1801110038447,(주)오리엔탈정공,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-16
20260415,014950,KR7014950000,삼익제약,삼익제약,코스닥,1201110009755,삼익제약(주),상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-16
20260415,014970,KR7014970008,삼륭물산,삼륭물산,코스닥,1156110001401,삼륭물산(주),상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-16
20260415,014990,KR7014990006,인디에프,인디에프,유가증권,1101110279996,(주)인디에프,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-16
20260415,015020,KR7015020001,이스타코,이스타코,유가증권,1243110006042,(주)이스타코,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-16
20260415,015230,KR7015230006,대창단조,대창단조,유가증권,1801110039396,대창단조(주),상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-16
20260415,015260,KR7015260003,에이엔피,에이엔피,유가증권,1243110006456,(주)에이엔피,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-16
20260415,015360,KR7015360001,INVENI,inveni,유가증권,1101110290778,(주)INVENI,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-16
20260415,015590,KR7015590003,DKME,dkme,유가증권,1812110002275,디케이엠이(주),상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-16
20260415,015710,KR7015710007,코콤,코콤,코스닥,1243110005359,(주)코콤,상장,,KRX-상장종목정보,https://apis.data.go.kr/1160100/service/GetKrxListedInfoService/getItemInfo?serviceKey=4344393cd8b52efbda50379ba1a98afa85ab94b28f93f998d3de23d8f5700488&numOfRows=4000&pageNo=1&resultType=json&basDt=20260415,2026-04-16
