symbol,current_price,ma20,ma60,rsi14,signal,asof
489500,20200.0,20746.5,21301.666666666668,39.568345323741006,약세추세,2026-09-04
490470,14300.0,15866.0,18701.833333333332,26.118500604594928,약세추세,2026-09-04
491000,34250.0,38315.0,38212.5,20.05141388174806,과매도권,2026-09-04
493280,14580.0,16640.5,19243.833333333332,23.4803337306317,약세추세,2026-09-04
493330,13630.0,11791.5,10943.0,61.98738170347003,상승추세,2026-09-04
493790,2030.0,2015.2,2013.3833333333334,64.28571428571428,상승추세,2026-09-04
494120,8320.0,10136.0,11532.6,15.226337448559661,약세추세,2026-09-04
496070,2010.0,2000.3,2000.4666666666667,64.28571428571428,중립,2026-09-04
496320,1023000.0,1023000.0,1023000.0,,데이터부족,2026-09-04
498390,2035.0,2035.0,2035.5833333333333,,데이터부족,2026-09-04
950250,2290.0,2380.5,2469.15,32.83582089552239,약세추세,2026-09-04
0007J0,7950.0,8174.5,8402.333333333334,44.44444444444444,약세추세,2026-09-03
0017J0,2610.0,2874.25,3511.1666666666665,20.283018867924525,약세추세,2026-09-03
0070X0,10250.0,10114.0,9596.833333333334,38.37471783295711,중립,2026-09-03
0132G0,1994.0,1995.4,1994.4333333333332,43.99999999999999,중립,2026-09-03
408470,5280.0,5417.0,5873.333333333333,38.69565217391304,약세추세,2026-09-03
0130D0,1979.0,1972.55,1981.2166666666667,60.0,중립,2026-09-02
0131D0,1969.0,1966.7,1970.75,56.09756097560975,중립,2026-09-02
387690,16730.0,12096.0,,70.70186735350934,데이터부족,2026-09-02
487580,3175.0,3454.5,3526.25,28.75536480686695,약세추세,2026-09-02
0117P0,6080.0,5387.5,6144.666666666667,58.14814814814815,중립,2026-09-01
0203K0,10850.0,10850.0,,,데이터부족,2026-09-01
394420,10335.0,11486.75,14239.916666666666,43.68378158109209,약세추세,2026-09-01
0011T0,5010.0,4848.5,5992.166666666667,57.74647887323944,중립,2026-08-29
0039P0,6830.0,8007.5,,29.01234567901234,데이터부족,2026-08-29
0129K0,1984.0,1972.35,1979.8333333333333,60.65573770491804,중립,2026-08-29
288180,7600.0,7817.0,8916.833333333334,52.72727272727273,중립,2026-08-29
439960,12560.0,15688.0,16858.833333333332,19.654714475431604,약세추세,2026-08-29
477850,24600.0,26952.0,23703.33333333333,36.4741641337386,중립,2026-08-29
487360,2030.0,2019.1,2017.9333333333327,71.73913043478261,과열권,2026-08-29
006260,313000.0,312000.0,335108.3333333333,48.66666666666666,중립,2026-08-28
0130H0,1996.0,1988.8,1996.1166666666663,58.75,중립,2026-08-28
0134X0,1980.0,1977.3,,55.55555555555556,데이터부족,2026-08-28
458350,3410.0,3586.25,3991.5833333333335,30.508474576271183,약세추세,2026-08-28
