ipo_id,name,name_key,market,symbol,sector,stage,underwriters,subscription_start,subscription_end,listing_date,price_band_low,price_band_high,offer_price,retail_competition_ratio_live,institutional_competition_ratio,allocation_ratio_retail,allocation_ratio_proportional,lockup_commitment_ratio,employee_subscription_ratio,employee_forfeit_ratio,circulating_shares_on_listing,circulating_shares_ratio_on_listing,existing_shareholder_ratio,total_offer_shares,new_shares,selling_shares,secondary_sale_ratio,post_listing_total_shares,current_price,day_change_pct,ma20,ma60,rsi14,forecast_date,ir_url,ir_title,ir_date,ir_pdf_url,ir_source_page,dart_receipt_no,dart_viewer_url,dart_report_nm,dart_filing_date,kind_url,notes,unusual_move_flag,volume_spike_ratio,unlock_date_15d,unlock_date_1m,unlock_date_3m,unlock_date_6m,unlock_date_1y,source,source_detail,last_refresh_ts
KIND_CORP_해성에어로보틱스,해성에어로보틱스,해성에어로보틱스,코스닥,059270,기타 금속 가공제품 제조업,상장후,,,,2021-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_쿠콘,쿠콘,쿠콘,코스닥,294570,기타 정보 서비스업,상장후,,,,2021-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_sk아이이테크놀로지,SK아이이테크놀로지,sk아이이테크놀로지,유가증권,361610,일차전지 및 이차전지 제조업,상장후,,,,2021-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_에이치피오,에이치피오,에이치피오,코스닥,357230,기타 식품 제조업,상장후,,,,2021-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_씨앤씨인터내셔널,씨앤씨인터내셔널,씨앤씨인터내셔널,코스닥,352480,기타 화학제품 제조업,상장후,,,,2021-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_샘씨엔에스,샘씨엔에스,샘씨엔에스,코스닥,252990,전자부품 제조업,상장후,,,,2021-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_ff,F&F,ff,유가증권,383220,봉제의복 제조업,상장후,,,,2021-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_삼영에스앤씨,삼영에스앤씨,삼영에스앤씨,코스닥,361670,전자부품 제조업,상장후,,,,2021-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_진시스템,진시스템,진시스템,코스닥,363250,의료용 기기 제조업,상장후,,,,2021-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_한울앤제주,한울앤제주,한울앤제주,코스닥,276730,알코올음료 제조업,상장후,,,,2021-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_lx홀딩스,LX홀딩스,lx홀딩스,유가증권,383800,기타 금융업,상장후,,,,2021-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_에코프로에이치엔,에코프로에이치엔,에코프로에이치엔,코스닥,383310,기타 화학제품 제조업,상장후,,,,2021-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_페니트리움바이오,페니트리움바이오,페니트리움바이오,코스닥,187660,자연과학 및 공학 연구개발업,상장후,,,,2021-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_이성씨엔아이,이성씨엔아이,이성씨엔아이,코넥스,379390,"건축기술, 엔지니어링 및 관련 기술 서비스업",상장후,,,,2021-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_라온로보틱스,라온로보틱스,라온로보틱스,코스닥,232680,특수 목적용 기계 제조업,상장후,,,,2021-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_이노뎁,이노뎁,이노뎁,코스닥,303530,소프트웨어 개발 및 공급업,상장후,,,,2021-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_타임기술,타임기술,타임기술,코넥스,318660,소프트웨어 개발 및 공급업,상장후,,,,2021-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_아모센스,아모센스,아모센스,코스닥,357580,전자부품 제조업,상장후,,,,2021-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_엠씨넥스,엠씨넥스,엠씨넥스,유가증권,097520,영상 및 음향기기 제조업,상장후,,,,2021-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_오비고,오비고,오비고,코스닥,352910,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",상장후,,,,2021-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_에스디바이오센서,에스디바이오센서,에스디바이오센서,유가증권,137310,의료용 기기 제조업,상장후,,,,2021-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_큐라클,큐라클,큐라클,코스닥,365270,자연과학 및 공학 연구개발업,상장후,,,,2021-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_비트맥스,비트맥스,비트맥스,코스닥,377030,소프트웨어 개발 및 공급업,상장후,,,,2021-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_에브리봇,에브리봇,에브리봇,코스닥,270660,가정용 기기 제조업,상장후,,,,2021-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_카카오뱅크,카카오뱅크,카카오뱅크,유가증권,323410,은행 및 저축기관,상장후,,,,2021-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_hk이노엔,HK이노엔,hk이노엔,코스닥,195940,의약품 제조업,상장후,,,,2021-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_pi첨단소재,PI첨단소재,pi첨단소재,유가증권,178920,플라스틱제품 제조업,상장후,,,,2021-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_크래프톤,크래프톤,크래프톤,유가증권,259960,소프트웨어 개발 및 공급업,상장후,,,,2021-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_원티드랩,원티드랩,원티드랩,코스닥,376980,소프트웨어 개발 및 공급업,상장후,,,,2021-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_플래티어,플래티어,플래티어,코스닥,367000,소프트웨어 개발 및 공급업,상장후,,,,2021-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_엠로,엠로,엠로,코스닥,058970,소프트웨어 개발 및 공급업,상장후,,,,2021-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_딥노이드,딥노이드,딥노이드,코스닥,315640,소프트웨어 개발 및 공급업,상장후,,,,2021-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_한컴라이프케어,한컴라이프케어,한컴라이프케어,유가증권,372910,의료용 기기 제조업,상장후,,,,2021-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_롯데렌탈,롯데렌탈,롯데렌탈,유가증권,089860,운송장비 임대업,상장후,,,,2021-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_브레인즈컴퍼니,브레인즈컴퍼니,브레인즈컴퍼니,코스닥,099390,소프트웨어 개발 및 공급업,상장후,,,,2021-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_아주스틸,아주스틸,아주스틸,유가증권,139990,1차 철강 제조업,상장후,,,,2021-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_바이젠셀,바이젠셀,바이젠셀,코스닥,308080,자연과학 및 공학 연구개발업,상장후,,,,2021-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_디앤디플랫폼리츠,디앤디플랫폼리츠,디앤디플랫폼리츠,유가증권,377190,부동산 임대 및 공급업,상장후,,,,2021-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_일진하이솔루스,일진하이솔루스,일진하이솔루스,유가증권,271940,그외 기타 운송장비 제조업,상장후,,,,2021-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_라이콤,라이콤,라이콤,코스닥,388790,통신 및 방송 장비 제조업,상장후,,,,2021-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_에이비온,에이비온,에이비온,코스닥,203400,자연과학 및 공학 연구개발업,상장후,,,,2021-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_와이엠텍,와이엠텍,와이엠텍,코스닥,273640,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",상장후,,,,2021-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_sk리츠,SK리츠,sk리츠,유가증권,395400,부동산 임대 및 공급업,상장후,,,,2021-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_hd현대중공업,HD현대중공업,hd현대중공업,유가증권,329180,선박 및 보트 건조업,상장후,,,,2021-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_바이오플러스,바이오플러스,바이오플러스,코스닥,099430,기초 의약물질 제조업,상장후,,,,2021-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_프롬바이오,프롬바이오,프롬바이오,코스닥,377220,기타 식품 제조업,상장후,,,,2021-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_실리콘투,실리콘투,실리콘투,코스닥,257720,상품 종합 도매업,상장후,,,,2021-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_에스앤디,에스앤디,에스앤디,코스닥,260970,기타 식품 제조업,상장후,,,,2021-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_아스플로,아스플로,아스플로,코스닥,159010,일반 목적용 기계 제조업,상장후,,,,2021-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_원준,원준,원준,코스닥,382840,특수 목적용 기계 제조업,상장후,,,,2021-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_씨유테크,씨유테크,씨유테크,코스닥,376290,전자부품 제조업,상장후,,,,2021-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_케이카,케이카,케이카,유가증권,381970,자동차 판매업,상장후,,,,2021-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_코닉오토메이션,코닉오토메이션,코닉오토메이션,코스닥,391710,특수 목적용 기계 제조업,상장후,,,,2021-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_지아이텍,지아이텍,지아이텍,코스닥,382480,특수 목적용 기계 제조업,상장후,,,,2021-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_차백신연구소,차백신연구소,차백신연구소,코스닥,261780,자연과학 및 공학 연구개발업,상장후,,,,2021-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_아이패밀리에스씨,아이패밀리에스씨,아이패밀리에스씨,코스닥,114840,기타 화학제품 제조업,상장후,,,,2021-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_리파인,리파인,리파인,코스닥,377450,기타 정보 서비스업,상장후,,,,2021-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_지앤비에스에코,지앤비에스 에코,지앤비에스에코,코스닥,382800,특수 목적용 기계 제조업,상장후,,,,2021-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_엔켐,엔켐,엔켐,코스닥,348370,기초 화학물질 제조업,상장후,,,,2021-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_카카오페이,카카오페이,카카오페이,유가증권,377300,금융 지원 서비스업,상장후,,,,2021-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_피코그램,피코그램,피코그램,코스닥,376180,그외 기타 제품 제조업,상장후,,,,2021-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_지니너스,지니너스,지니너스,코스닥,389030,자연과학 및 공학 연구개발업,상장후,,,,2021-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_skai,SKAI,skai,코스닥,357880,소프트웨어 개발 및 공급업,상장후,,,,2021-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
KIND_CORP_디어유,디어유,디어유,코스닥,376300,소프트웨어 개발 및 공급업,상장후,,,,2021-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13,,,,,,,,,KIND-corpList,corp-download,2026-04-21
