strategy_name,term,entry_mode,symbol,name,listing_date,unlock_date,entry_dt,entry_price,exit_dt,exit_price,hold_days_after_entry,ipo_price,ipo_price_source,prev_close_vs_ipo,prev_close_date,entry_price_vs_ipo,gross_ret,net_ret
15D_close_midhold,15D,close,376900,로킷헬스케어,2025-05-12,2025-05-27,2025-05-27,18650.0,2025-06-04,15570.0,5,11000.0,kind,1.6654545454545455,2025-05-26,1.6954545454545455,-0.16514745308310996,-0.16706732596008722
15D_close_midhold,15D,close,424870,이뮨온시아,2025-05-19,2025-06-03,2025-06-04,6100.0,2025-06-12,5810.0,5,3600.0,kind,1.7722222222222221,2025-06-02,1.6944444444444444,-0.04754098360655734,-0.049731310795184114
15D_close_midhold,15D,close,489460,바이오비쥬,2025-05-20,2025-06-04,2025-06-04,19350.0,2025-06-12,17780.0,5,9100.0,kind,2.1417582417582417,2025-06-02,2.1263736263736264,-0.08113695090439277,-0.08325001895710471
15D_close_midhold,15D,close,483650,달바글로벌,2025-05-22,2025-06-06,2025-06-09,144900.0,2025-06-16,162600.0,5,66300.0,kind,2.1131221719457014,2025-06-05,2.18552036199095,0.12215320910973082,0.11957264381357291
15D_close_midhold,15D,close,287840,인투셀,2025-05-23,2025-06-07,2025-06-09,37750.0,2025-06-16,37900.0,5,17000.0,kind,2.2205882352941178,2025-06-05,2.2205882352941178,0.003973509933774766,0.0016647171798400695
15D_close_midhold,15D,close,475430,키스트론,2025-06-02,2025-06-17,2025-06-17,7130.0,2025-06-24,6610.0,5,3600.0,kind,1.9194444444444445,2025-06-16,1.9805555555555556,-0.0729312762973352,-0.07506321457111043
15D_close_midhold,15D,close,388610,지에프씨생명과학,2025-06-30,2025-07-15,2025-07-15,24700.0,2025-07-22,21800.0,5,15300.0,kind,1.6601307189542485,2025-07-14,1.6143790849673203,-0.11740890688259109,-0.11943856194850122
15D_close_midhold,15D,close,463020,뉴엔AI,2025-07-04,2025-07-19,2025-07-21,36650.0,2025-07-28,33500.0,5,15000.0,kind,2.4766666666666666,2025-07-18,2.4433333333333334,-0.08594815825375168,-0.08805016218917794
15D_close_midhold,15D,close,234030,싸이닉솔루션,2025-07-07,2025-07-22,2025-07-22,11000.0,2025-07-29,9980.0,5,4700.0,kind,2.5425531914893615,2025-07-21,2.3404255319148937,-0.09272727272727277,-0.09481368703785353
15D_close_midhold,15D,close,439260,대한조선,2025-08-01,2025-08-16,2025-08-18,83700.0,2025-08-25,90600.0,5,50000.0,kind,1.768,2025-08-14,1.674,0.08243727598566308,0.07994804363574848
15D_close_midhold,15D,close,484590,삼양컴텍,2025-08-18,2025-09-02,2025-09-02,18670.0,2025-09-09,18810.0,5,7700.0,kind,2.4857142857142858,2025-09-01,2.4246753246753245,0.007498660953401126,0.005181761568116006
15D_close_midhold,15D,close,488280,에스투더블유,2025-09-19,2025-10-04,2025-10-10,24650.0,2025-10-17,20500.0,5,13200.0,kind,2.106060606060606,2025-10-02,1.8674242424242424,-0.16835699797160242,-0.17026949000246316
15D_close_midhold,15D,close,317450,명인제약,2025-10-01,2025-10-16,2025-10-16,96700.0,2025-10-23,93400.0,5,58000.0,kind,1.796551724137931,2025-10-15,1.6672413793103449,-0.03412616339193386,-0.036347340039635245
15D_close_midhold,15D,close,486990,노타,2025-11-03,2025-11-18,2025-11-18,30350.0,2025-11-25,38650.0,5,9100.0,kind,3.978021978021978,2025-11-17,3.3351648351648353,0.27347611202635913,0.2705475562520647
15D_close_midhold,15D,close,469610,이노테크,2025-11-07,2025-11-22,2025-11-24,27800.0,2025-12-01,37500.0,5,14700.0,kind,2.306122448979592,2025-11-21,1.8911564625850341,0.34892086330935257,0.34581881063164266
15D_close_midhold,15D,close,494120,큐리오시스,2025-11-13,2025-11-28,2025-11-28,67200.0,2025-12-05,71500.0,5,22000.0,kind,3.081818181818182,2025-11-27,3.0545454545454547,0.06398809523809534,0.06154128963988725
15D_close_midhold,15D,close,488900,비츠로넥스텍,2025-11-21,2025-12-06,2025-12-08,9590.0,2025-12-15,10240.0,5,6900.0,kind,1.5942028985507246,2025-12-05,1.3898550724637682,0.0677789363920751,0.06532341316685719
15D_close_midhold,15D,close,217590,티엠씨,2025-12-15,2025-12-30,2025-12-30,15130.0,2026-01-08,14140.0,5,9300.0,kind,1.9580645161290322,2025-12-29,1.6268817204301076,-0.06543291473892932,-0.06758209665774206
15D_close_midhold,15D,close,478340,나라스페이스테크놀로지,2025-12-17,2026-01-01,2026-01-02,28200.0,2026-01-09,30900.0,5,16500.0,kind,1.709090909090909,2025-12-30,1.709090909090909,0.0957446808510638,0.09322484606032488
15D_close_midhold,15D,close,476830,알지노믹스,2025-12-18,2026-01-02,2026-01-02,150000.0,2026-01-09,193900.0,5,22500.0,kind,7.133333333333334,2025-12-30,6.666666666666667,0.29266666666666663,0.2896939792364479
1M_close_midhold,1M,close,354320,알멕,2023-06-30,2023-07-30,2023-07-31,88500.0,2023-08-30,77000.0,21,50000.0,kind,1.794,2023-07-28,1.77,-0.12994350282485878,-0.13194433264388883
1M_close_midhold,1M,close,448710,코츠테크놀로지,2023-08-10,2023-09-10,2023-09-11,22300.0,2023-10-17,16530.0,21,13000.0,kind,1.7653846153846153,2023-09-08,1.7153846153846153,-0.25874439461883403,-0.26044902681638116
1M_close_midhold,1M,close,445680,큐리옥스바이오시스템즈,2023-08-10,2023-09-10,2023-09-11,32108.0,2023-10-17,18555.0,21,13000.0,kind,2.4044615384615384,2023-09-08,2.469846153846154,-0.4221066400896972,-0.4234355954741834
1M_close_midhold,1M,close,424960,스마트레이더시스템,2023-08-22,2023-09-22,2023-09-22,15690.0,2023-10-30,11200.0,21,8000.0,kind,2.21,2023-09-21,1.96125,-0.28616953473550033,-0.2878110985710334
1M_close_midhold,1M,close,418250,시큐레터,2023-08-24,2023-09-24,2023-09-25,17770.0,2023-10-31,11300.0,21,12000.0,kind,1.8291666666666666,2023-09-22,1.4808333333333332,-0.3640967923466517,-0.36555915037055087
